GEOID10,Tract,State,State_FIPS,Count_FIPS,Tract_FIPS,FIPS,Area_Land,Area_Water,MHHI2014
08013013601,"Census Tract 136.01, Boulder County, Colorado",co,8,13,13601,14000US08013013601,138098589,2044823,80897
08013013602,"Census Tract 136.02, Boulder County, Colorado",co,8,13,13602,14000US08013013602,495086992,3405390,62742
08013013701,"Census Tract 137.01, Boulder County, Colorado",co,8,13,13701,14000US08013013701,251524991,2312507,115328
08013013702,"Census Tract 137.02, Boulder County, Colorado",co,8,13,13702,14000US08013013702,338552715,3962124,76128
08013060600,"Census Tract 606, Boulder County, Colorado",co,8,13,60600,14000US08013060600,37815984,1420037,98542
08013060700,"Census Tract 607, Boulder County, Colorado",co,8,13,60700,14000US08013060700,10020054,82697,107273
08013060800,"Census Tract 608, Boulder County, Colorado",co,8,13,60800,14000US08013060800,21250339,150276,44246
08013060900,"Census Tract 609, Boulder County, Colorado",co,8,13,60900,14000US08013060900,7699944,28819,74954
08013061300,"Census Tract 613, Boulder County, Colorado",co,8,13,61300,14000US08013061300,2106503,6895,151743
08013061400,"Census Tract 614, Boulder County, Colorado",co,8,13,61400,14000US08013061400,2553846,8890,135644
